Date&Time,Tweet,Tweet_ID,ReTweet_Count,Favorite_Count,Tweet_Source,blob_polarity,blob_subjectivity,blob_sentiment,ds,vader_scores,vader_polarity,vader_sentiment
2022-11-17 18:36:48+00:00,pleasure join roundtable learn kenyas progress great back kenya much changed since last visit exciting come see firsthand,1593312213258772481,10,36,Twitter Web App,0.26,0.36333333333333334,positive,BillGates,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.9432}",0.9432,positive
2022-11-16 20:55:31+00:00,rt excited host bill gates exclusive conversation virtual,1592984733906259968,265,0,Twitter Web App,0.375,0.75,positive,BillGates,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.4404}",0.4404,positive
2022-11-16 20:18:54+00:00,im kenya week learn researchers innovators students leaders whats working whats foundation better support progress kenya across continent,1592975520312225793,1948,18404,Twitter Web App,0.5,0.5,positive,BillGates,"{'neg': 0.0, 'neu': 0.641, 'pos': 0.359, 'compound': 0.8126}",0.8126,positive
2022-11-16 19:36:58+00:00,thank im excited kenya week see much progress made,1592964968252854272,549,5246,Twitter Web App,0.2875,0.475,positive,BillGates,"{'neg': 0.0, 'neu': 0.438, 'pos': 0.562, 'compound': 0.7717}",0.7717,positive
2022-11-16 19:34:34+00:00,thank enjoyed learning health team well remarkable individuals make community,1592964362121392128,12,34,Twitter Web App,0.625,0.725,positive,BillGates,"{'neg': 0.0, 'neu': 0.343, 'pos': 0.657, 'compound': 0.8885}",0.8885,positive
2022-11-15 18:55:28+00:00,believe everyone role play addressing climate change whether youre entrepreneur inventor consumer help avoid climate disaster,1592592132694757376,507,3050,Twitter Web App,0.0,0.0,neutral,BillGates,"{'neg': 0.269, 'neu': 0.513, 'pos': 0.218, 'compound': -0.296}",-0.296,negative
2022-11-14 02:24:53+00:00,comes alleviating impacts climatechange smallholder farmers goal simply giving food aid ensure aid needed first place cop27,1591980459667656705,334,2175,Twitter Web App,0.125,0.34523809523809523,positive,BillGates,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.6124}",0.6124,positive
2022-11-12 23:37:19+00:00,us done cause problem help rest world survive owe much,1591575900843569152,451,2605,Twitter Web App,0.2,0.2,positive,BillGates,"{'neg': 0.201, 'neu': 0.597, 'pos': 0.201, 'compound': 0.0}",0.0,neutral
2022-11-12 16:38:54+00:00,670000 children die pneumonia every year inventprise working change worldpneumoniaday,1591470604267696130,296,2052,Twitter Web App,0.0,0.0,neutral,BillGates,"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.5994}",-0.5994,negative
2022-11-10 22:00:16+00:00,last steps proving toughest im optimistic eradicate polio recently visited rega institute theyre testing preventative medicine important step toward poliofree world,1590826702502236160,282,2656,Twitter Web App,0.13333333333333333,0.4388888888888889,positive,BillGates,"{'neg': 0.056, 'neu': 0.769, 'pos': 0.175, 'compound': 0.4215}",0.4215,positive
2022-11-07 23:38:09+00:00,climate crisis already devastating communities funding necessary ensure agricultural technological innovations widely available vulnerable helping adapt climate change save lives increase economic opportunity,1589764171021037568,320,2056,Twitter Web App,-0.18000000000000002,0.62,negative,BillGates,"{'neg': 0.268, 'neu': 0.391, 'pos': 0.341, 'compound': 0.2023}",0.2023,positive
2022-11-04 16:49:54+00:00,never met anyone passionate reducing worlds worst inequities health paul farmer continue learn dear friends life legacy today,1588574269226688512,254,2040,Twitter Web App,-0.525,0.925,negative,BillGates,"{'neg': 0.259, 'neu': 0.527, 'pos': 0.214, 'compound': -0.2905}",-0.2905,negative
2022-11-03 21:47:29+00:00,1b people globally still suffer ntds many caused parasites got firsthand look creepy crawlies parasitic museum tokyo understand better address diseases cause,1588286769719808001,223,1876,Twitter Web App,0.125,0.5,positive,BillGates,"{'neg': 0.133, 'neu': 0.758, 'pos': 0.11, 'compound': -0.1531}",-0.1531,negative
2022-11-03 17:09:17+00:00,years besummit2022 brought together investors policymakers innovators tackle one worlds toughest problems climate change,1588216758175162368,243,1710,Twitter Web App,0.0,0.0,neutral,BillGates,"{'neg': 0.25, 'neu': 0.75, 'pos': 0.0, 'compound': -0.4588}",-0.4588,negative
2022-10-28 16:42:42+00:00,math shouldnt gatekeeper limiting students dreams gateway helping students realize,1586035739229270016,525,3581,Twitter Web App,0.0,0.0,neutral,BillGates,"{'neg': 0.0, 'neu': 0.62, 'pos': 0.38, 'compound': 0.5994}",0.5994,positive
2022-10-27 19:28:33+00:00,terrapower nextgen nuclear company founded agreed pacificorp study feasibility building five natrium reactors customers,1585715089394782209,363,2799,Twitter Web App,0.0,0.0,neutral,BillGates,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.2732}",0.2732,positive
2022-10-26 21:13:42+00:00,great meeting discuss importance funding research address future challenges face global health,1585379166349889542,157,1176,Twitter Web App,0.26666666666666666,0.2916666666666667,positive,BillGates,"{'neg': 0.0, 'neu': 0.533, 'pos': 0.467, 'compound': 0.7845}",0.7845,positive
2022-10-26 21:13:19+00:00,thank prime minister continued commitment support,1585379068505370624,139,1407,Twitter Web App,0.0,0.0,neutral,BillGates,"{'neg': 0.0, 'neu': 0.278, 'pos': 0.722, 'compound': 0.7783}",0.7783,positive
2022-10-26 15:44:32+00:00,thrilled see existing partnership strengthen signing mou today global collaboration like power bring clean energy solutions need communities around world,1585296325989453824,165,1245,Twitter Web App,0.32222222222222224,0.4666666666666666,positive,BillGates,"{'neg': 0.0, 'neu': 0.496, 'pos': 0.504, 'compound': 0.9042}",0.9042,positive
2022-10-26 11:59:36+00:00,im deeply grateful efforts partners like president helped reduce global polio burden 999 prevented estimated 20 million children paralyzed together overcome last hurdles achieve poliofree world,1585239719457103872,449,1889,Twitter Web App,0.0,0.15555555555555556,neutral,BillGates,"{'neg': 0.091, 'neu': 0.692, 'pos': 0.217, 'compound': 0.4576}",0.4576,positive
2022-10-25 23:37:29+00:00,testing viruses breathalyzer possible pretty incredible see innovative work happening,1585052961511976960,363,3231,Twitter Web App,0.4125,0.975,positive,BillGates,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.749}",0.749,positive
2022-10-25 23:31:16+00:00,thank prime minister hosting years grandchallenges meeting support facilitating gathering global leaders help ensure healthier secure world,1585051398043242497,140,1357,Twitter Web App,0.2,0.3,positive,BillGates,"{'neg': 0.0, 'neu': 0.482, 'pos': 0.518, 'compound': 0.8979}",0.8979,positive
2022-10-25 21:48:17+00:00,thanks seeing universal al robotics platform action incredible,1585025479416766469,6,103,Twitter Web App,0.30000000000000004,0.30000000000000004,positive,BillGates,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.4404,positive
2022-10-25 21:46:51+00:00,thank thoughtful discussion,1585025119906590720,4,19,Twitter Web App,0.4,0.5,positive,BillGates,"{'neg': 0.0, 'neu': 0.164, 'pos': 0.836, 'compound': 0.6249}",0.6249,positive
2022-10-25 21:44:52+00:00,one amazing program supported eu together african medicines agency new african union institution strengthen regulatory capacity health security across continent,1585024621950431232,68,623,Twitter Web App,0.1840909090909091,0.3386363636363636,positive,BillGates,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.8689}",0.8689,positive
2022-10-25 21:44:52+00:00,thanks great discussion joint efforts advance fight infectious diseases,1585024619710291968,174,1756,Twitter Web App,0.5,0.475,positive,BillGates,"{'neg': 0.167, 'neu': 0.385, 'pos': 0.449, 'compound': 0.6597}",0.6597,positive
2022-10-25 13:57:58+00:00,twenty years ago thought grandchallenges gates foundation initiative innovators broader scientific community involved become global movement,1584907122755633153,181,1641,Twitter Web App,0.0,0.0,neutral,BillGates,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2022-10-21 21:43:00+00:00,fantastic learn whove working reduction malaria many disease elimination programs support,1583574597618012161,163,1231,Twitter Web App,0.45,0.7,positive,BillGates,"{'neg': 0.0, 'neu': 0.588, 'pos': 0.412, 'compound': 0.743}",0.743,positive
2022-10-20 18:27:43+00:00,understand take get zero need start asking 51 billion tons emissions come mastersofscalesummit,1583163067185364997,423,1968,Twitter Web App,0.0,0.0,neutral,BillGates,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2022-10-20 03:21:43+00:00,energy summit officially wrap reaching netzero emissions hardest thing humanity ever done im leaving today increased sense hope,1582935064043655169,107,994,Twitter Web App,0.0,0.0,neutral,BillGates,"{'neg': 0.0, 'neu': 0.611, 'pos': 0.389, 'compound': 0.7845}",0.7845,positive
2022-10-20 03:20:21+00:00,literally,1582934721444446208,79,1108,Twitter Web App,0.0,0.0,neutral,BillGates,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2022-10-20 03:20:20+00:00,today pretty special able get hands innovative climate tech could help us reach netzero,1582934715798941697,185,2609,Twitter Web App,0.4017857142857143,0.7991071428571428,positive,BillGates,"{'neg': 0.0, 'neu': 0.417, 'pos': 0.583, 'compound': 0.891}",0.891,positive
2022-10-19 21:21:36+00:00,five grand challenges help us consider ways develop comprehensive solutions reduce global emissions thank project art collective creativity bringing life,1582844436232314881,128,1427,Twitter Web App,0.25,0.5,positive,BillGates,"{'neg': 0.0, 'neu': 0.451, 'pos': 0.549, 'compound': 0.9153}",0.9153,positive
2022-10-19 21:19:13+00:00,focus art installation display summit cleverly represents five grand challenges electricity manufacturing agriculture transportation buildings,1582843838569549824,67,639,Twitter for iPhone,0.3333333333333333,0.9166666666666667,positive,BillGates,"{'neg': 0.0, 'neu': 0.612, 'pos': 0.388, 'compound': 0.765}",0.765,positive
2022-10-19 21:00:05+00:00,grateful leadership made significant strides climate innovation need breakthroughs,1582839025013993472,82,685,Twitter Web App,0.375,0.875,positive,BillGates,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.7506}",0.7506,positive
2022-10-19 20:50:34+00:00,unrealistic expect people stop traveling plane must scale innovations decarbonize aviation industry help us achieve building worlds first plant turning alcohol sustainable aviation fuel,1582836627839143938,86,601,Twitter Web App,-0.125,0.6666666666666666,negative,BillGates,"{'neg': 0.082, 'neu': 0.818, 'pos': 0.1, 'compound': 0.128}",0.128,positive
2022-10-19 14:06:28+00:00,yesterday important step toward poliofree world 26 billion committed help protect millions children thank many donors pledged support lets keep momentum endpolio together,1582734932983836672,184,1210,Twitter Web App,0.45,0.75,positive,BillGates,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.9081}",0.9081,positive
